Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
"Maternal Child Health Nurse Coordinator-Relocate to Port Hardy, B.C",Gwa'sala-'Nakwaxd'xw Nations,Various locations,82396.0,104332.0,2023-10-04
Senior Simulation Developer,Clearpath Inc.,"Kitchener, ON",94378.0,119504.0,2023-10-04
Sr. Systems Analyst - IAM,opentext,"Waterloo, ON",73009.0,92446.0,2023-10-04
Principal Security Compliance Analyst - Compliance Strategy,opentext,"Waterloo, ON",76187.0,96470.0,2023-10-04
Senior Software Engineer in Test,Magnet Forensics,"Waterloo, ON",74802.0,94716.0,2023-10-04
"CNC Mid to Large Lathe Machinist (""Programmer"")",BARRIE WELDING & MACHINE,Various locations,,,2023-10-04
"Senior React Native Engineer - Afterpay, Cash App",Cash App,"Waterloo, ON",139063.0,176085.0,2023-10-04
Senior Software Engineer (API/Java),Sun Life,"Waterloo, ON",,,2023-10-04
Master Data Management - Data/Process Analyst,opentext,"Waterloo, ON",86934.0,110077.0,2023-10-04
Infrastructure Cloud Architect,ApplyBoard,"Kitchener, ON",108484.0,137365.0,2023-10-04
Sr. Client Manager,Open Text Corporation,"Waterloo, ON",83619.0,105881.0,2023-10-04
Sr. ITSM Analyst - SMAX,Open Text Corporation,"Waterloo, ON",66904.0,84716.0,2023-10-04
Senior Monitoring Specialist (Sitescope),Open Text Corporation,"Waterloo, ON",77886.0,98621.0,2023-10-04
Sr. Software Developer,Open Text Corporation,"Waterloo, ON",95129.0,120454.0,2023-10-04
Sr. Site Reliability Administrator,Open Text Corporation,"Waterloo, ON",97291.0,123192.0,2023-10-04
Lead Technology Risk & Disaster Recovery Analyst(Workers Council),Open Text Corporation,"Waterloo, ON",66057.0,83643.0,2023-10-04
Principal Network Specialist,opentext,"Waterloo, ON",76996.0,97494.0,2023-10-04
Principal Network Specialist,Open Text Corporation,"Waterloo, ON",76996.0,97494.0,2023-10-04
Lead Product Manager (IoT),Open Text Corporation,"Waterloo, ON",97948.0,124024.0,2023-10-04
Principal GCP Cloud Solutions Architect,Open Text Corporation,"Waterloo, ON",74417.0,94228.0,2023-10-04
Lead Privacy Analyst,Open Text Corporation,"Waterloo, ON",76506.0,96874.0,2023-10-04
Electrical Design & PLC Programmer (Automation Exp),Barrie Welding & Machine,Various locations,56885.0,72030.0,2023-10-04
Principal Security Compliance Analyst - Compliance Strategy,Open Text Corporation,"Waterloo, ON",76187.0,96470.0,2023-10-04
Business Development Representative,The Syscomm Group,"Waterloo, ON",50183.0,63543.0,2023-10-04
Lead Site Reliability Engineer,opentext,"Waterloo, ON",99945.0,126552.0,2023-10-04
CNC Programmer/Setter/Operator,Trited Innovation Inc-Cambridge - ONTARIO,"Guelph, ON",,,2023-10-04
Senior Scrum Master (Data & Analytics),Sun Life,"Waterloo, ON",,,2023-10-04
Sr. Software Engineer-Zuora Administrator,opentext,"Waterloo, ON",85653.0,108456.0,2023-10-04
Job Developer/Employment Counsellor,2nd Chance Employment Counselling,"Guelph, ON",,,2023-10-04
Sr. Systems Analyst - uCMDB,opentext,"Waterloo, ON",75888.0,96091.0,2023-10-04
Lead Systems Analyst,opentext,"Waterloo, ON",92034.0,116535.0,2023-10-04
Lead Product Manager (IoT),opentext,"Waterloo, ON",97948.0,124024.0,2023-10-04
Sr. ITSM Analyst - SMAX,opentext,"Waterloo, ON",66904.0,84716.0,2023-10-04
"Sr. Manager, Business Processes - Financial Analysis",Open Text Corporation,"Waterloo, ON",98049.0,124153.0,2023-10-04
Lead Technology Risk & Disaster Recovery Analyst(Workers Council),opentext,"Waterloo, ON",66057.0,83643.0,2023-10-04
"Senior Cloud Security Engineer- Remote, Ontario",Smile DH,"Kitchener, ON",129190.0,163583.0,2023-10-04
Sr. Client Manager,opentext,"Waterloo, ON",83619.0,105881.0,2023-10-04
Client Director,Open Text Corporation,"Waterloo, ON",97850.0,123900.0,2023-10-04
"Sr. Manager, Business Processes - Financial Analysis",opentext,"Waterloo, ON",98049.0,124153.0,2023-10-04
Account Development Executive,Open Text Corporation,"Waterloo, ON",86648.0,109716.0,2023-10-04
Principal GCP Cloud Solutions Architect,opentext,"Waterloo, ON",74417.0,94228.0,2023-10-04
Sr. Systems Analyst - uCMDB,Open Text Corporation,"Waterloo, ON",75888.0,96091.0,2023-10-04
Client Director,opentext,"Waterloo, ON",97850.0,123900.0,2023-10-04
"Sr. Manager, SAP Finance Applications",opentext,"Waterloo, ON",87742.0,111102.0,2023-10-04
"Sr. Manager, SAP Finance Applications",Open Text Corporation,"Waterloo, ON",87742.0,111102.0,2023-10-04
Senior Monitoring Specialist (Sitescope),opentext,"Waterloo, ON",77886.0,98621.0,2023-10-04
Lead Product Manager,Open Text Corporation,"Waterloo, ON",97948.0,124024.0,2023-10-04
Account Development Executive,opentext,"Waterloo, ON",86648.0,109716.0,2023-10-04
Lead Product Manager,opentext,"Waterloo, ON",97948.0,124024.0,2023-10-04
